yt_id,standard,composer,artist,album,year,instrumentation,youtube_url,youtube_title,youtube_channel,notes,source,recording_mbid
pbBZQvsrzVk,Giant Steps,John Coltrane,Michel Petrucciani Trio,Jazz Club Montmartre - CPH 1988,2024,piano trio,https://www.youtube.com/watch?v=pbBZQvsrzVk,Giant Steps (Live),The Michel Petrucciani Trio - Topic,Virtuosic piano trio rendition,musicbrainz,e73535a7-1e96-4f85-b224-6af2f2d7831e
GD7vit_Mr0M,Giant Steps,John Coltrane,Kenny Barron,1+1+1,1986,piano trio,https://www.youtube.com/watch?v=GD7vit_Mr0M,Ron Carter - Giant Steps - from 1+1+1 by Kenny Barron #roncarterbassist,Ron Carter Bassist,Master pianist's clean modern reading,musicbrainz,8c5ce7ff-2e84-4e9b-9343-6bc365df2cbf
oHHGTqAKN3Y,Giant Steps,John Coltrane,Tete Montoliu Trio,Tete!,1975,piano trio,https://www.youtube.com/watch?v=oHHGTqAKN3Y,Giant Steps,Tete Montoliu - Topic,Fluid bebop-rooted trio interpretation,musicbrainz,f571233c-3dd2-4a38-b986-dcd74664f24e
6ScgUCDd9l0,Groovin High,Dizzie Gillespie,Dizzy Gillespie Sextet,The Development of an American Artist,1976,sextet,https://www.youtube.com/watch?v=6ScgUCDd9l0,Dizzy Gillespie Sextet  - Groovin' High,Classic Mood Experience,The original 1945 bebop landmark recording by the composer,musicbrainz,74e3b7af-dc40-43a5-8a64-d2cdda3c676d
VaelMqlQ-n4,Groovin High,Dizzie Gillespie,"Charlie Parker, Dizzy Gillespie",Together,2003,quintet,https://www.youtube.com/watch?v=VaelMqlQ-n4,"Groovin' High - Dizzy Gillespie Sextette (w/Charlie Parker, alto sax) - Guild 1001-A",James Phillips,Definitive Bird and Diz collaboration on the tune,musicbrainz,1b7c5dcf-f541-460f-9047-8f911cfca202
K_WQu4DJGaI,Groovin High,Dizzie Gillespie,Bud Powell,Live at Birdland 1957,2013,piano trio,https://www.youtube.com/watch?v=K_WQu4DJGaI,Groovin' High,Bud Powell Trio - Topic,Bebop piano master's interpretation,musicbrainz,d0a8e246-930b-4438-b16e-51a6ffc7dcd4
GxJpBXlTU5I,Groovin High,Dizzie Gillespie,Art Pepper,Art Pepper + Eleven,1959,alto saxophone quartet,https://www.youtube.com/watch?v=GxJpBXlTU5I,Groovin' High (feat. Sonny Stitt),Art Pepper,West Coast alto reading of the standard,musicbrainz,9334faea-e68f-4cf9-9ad6-48180a0f54f0
3lqk626OGZk,Groovin High,Dizzie Gillespie,Supersax,Salt Peanuts,1974,saxophone ensemble,https://www.youtube.com/watch?v=3lqk626OGZk,Groovin' High,Supersax - Topic,Harmonized Parker solos for sax section,musicbrainz,97d2d6de-934e-4d0d-aa65-86dea856cec0
81PTEVewZmg,Groovin High,Dizzie Gillespie,Erroll Garner,Up in Erroll’s Room,1968,solo piano,https://www.youtube.com/watch?v=81PTEVewZmg,Erroll Garner - Groovin' High (Official Audio),Mack Avenue,Distinctive swing-piano treatment,musicbrainz,64d79895-6d9b-4b9c-9da6-76fc0871c32b
XYaVbTVMZtA,Groovin High,Dizzie Gillespie,"Keith Jarrett, Gary Peacock, Jack DeJohnette",Whisper Not,2000,piano trio,https://www.youtube.com/watch?v=XYaVbTVMZtA,"Standards I (Keith Jarret, Gary Peacock, Jack Dejohnette)",A Chaves,Modern Standards Trio live interpretation,musicbrainz,e1344570-4bd2-4859-8a97-e6716d7fbee0
os7Wv3kVdiY,Groovin High,Dizzie Gillespie,"The Modern Jazz Quartet, Sonny Stitt, Stan Getz, Dizzy Gillespie","Jazz at the Philharmonic, Seattle 1956",2011,quintet with vibraphone,https://www.youtube.com/watch?v=os7Wv3kVdiY,Groovin’ High Jazz Quartet,Groovin’ High,All-star summit featuring the composer and MJQ,musicbrainz,407b1baa-f2ab-4180-8bb2-9a4d4f8fff68
ytqWCV6I53U,Have You Met Miss Jones,Richard Rodgers,Art Tatum,The Art Tatum - Ben Webster Quartet,1958,"quartet (piano, tenor sax, bass, drums)",https://www.youtube.com/watch?v=ytqWCV6I53U,Have You Met Miss Jones? (Album Version),Art Tatum - Topic,Definitive Tatum-Webster collaboration on this tune,musicbrainz,c306c170-18ef-4f77-a941-b2c1b1439b92
fQyndw2g6_A,Have You Met Miss Jones,Richard Rodgers,Coleman Hawkins,The Hawk in Hi-Fi,2001,tenor saxophone with combo,https://www.youtube.com/watch?v=fQyndw2g6_A,Coleman Hawkins - Have You Met Miss Jones?,Heinz Becker,Hawkins brings rich tenor sophistication to the changes,musicbrainz,59fd646f-08fc-4052-b003-d1b31d113f91
0gjUhFbp3XE,Have You Met Miss Jones,Richard Rodgers,The Oscar Peterson Trio,We Get Requests,1964,piano trio,https://www.youtube.com/watch?v=0gjUhFbp3XE,Have You Met Miss Jones?,Oscar Peterson (The Estate of Oscar Peterson),"Swinging, virtuosic trio treatment",musicbrainz,a1b1c4d8-b36c-4f29-bedd-f6bc78e984a0
SvVpqgz5kHw,Have You Met Miss Jones,Richard Rodgers,Frank Sinatra,Ring-a-Ding Ding!,2011,vocal with big band,https://www.youtube.com/watch?v=SvVpqgz5kHw,Have You Met Miss Jones (Outtake),Frank Sinatra,Classic vocal reading of the Rodgers & Hart lyric,musicbrainz,8534312e-4012-44a8-8147-8a30151d2513
O1o39xxw8tY,Have You Met Miss Jones,Richard Rodgers,Joe Pass,Virtuoso,1974,solo guitar,https://www.youtube.com/watch?v=O1o39xxw8tY,Joe Pass - Have You Met Miss Jones? - Virtual Guitar Transcription by Gilles Rea,Gill & Jazz Transcriptions,Landmark solo-guitar interpretation,musicbrainz,73756098-ed09-456d-85e5-831a4df0f3b2
qius3oWA3nA,Have You Met Miss Jones,Richard Rodgers,McCoy Tyner Trio,Reaching Fourth,1963,piano trio,https://www.youtube.com/watch?v=qius3oWA3nA,Have You Met Miss Jones?,McCoy Tyner Trio - Topic,"Modern, harmonically adventurous trio version",musicbrainz,02f5ad0a-1d96-424e-be56-ae7c3af2d362
F79W9y80aas,Have You Met Miss Jones,Richard Rodgers,Sarah Vaughan,The Divine One,1961,vocal with orchestra,https://www.youtube.com/watch?v=F79W9y80aas,Have You Met Miss Jones? (2007 Remaster),Sarah Vaughan - Topic,"Lush, masterful vocal performance",musicbrainz,1f134971-72fd-40b8-921b-98664daad3bd
H4aFcaAwOPU,Have You Met Miss Jones,Richard Rodgers,Stan Getz,The Chronological Classics: Stan Getz 1952-1953,2007,tenor saxophone quartet,https://www.youtube.com/watch?v=H4aFcaAwOPU,Have You Met Miss Jones? (Album Version),Stan Getz,"Cool-toned, lyrical tenor reading",musicbrainz,890e0b1a-040b-4ad8-8d62-9718d12eea4b
8nBFRCqFjIA,Here's That Rainy Day,Jimmy Van Heusen,Frank Sinatra,No One Cares,1959,vocal with orchestra,https://www.youtube.com/watch?v=8nBFRCqFjIA,Here's That Rainy Day,Frank Sinatra,Definitive vocal reading of the ballad,musicbrainz,29a7c9b0-fe31-4282-9e13-7e55c69d8019
YNdr78_fRG4,Here's That Rainy Day,Jimmy Van Heusen,Bill Evans,Alone,1969,solo piano,https://www.youtube.com/watch?v=YNdr78_fRG4,Here's That Rainy Day,Bill Evans,Introspective solo piano interpretation,musicbrainz,f8e340dc-4950-48b3-92d6-d5177a57f3fc
-iVgONy8kMY,Here's That Rainy Day,Jimmy Van Heusen,Wes Montgomery,The Incredible Jazz Guitar of Wes Montgomery,2004,guitar with ensemble,https://www.youtube.com/watch?v=-iVgONy8kMY,Wes Montgomery - Here's That Rainy Day -  Live London 1965,saag111,Lyrical guitar treatment by a master,musicbrainz,3de497f1-95f4-4288-9922-c22e8b36a0e4
UnNUi3ey-Xc,Here's That Rainy Day,Jimmy Van Heusen,"Stan Getz, João Gilberto",Getz/Gilberto #2,1993,saxophone with vocal and guitar,https://www.youtube.com/watch?v=UnNUi3ey-Xc,Here's That Rainy Day,Stan Getz,Bossa-tinged duo rendition,musicbrainz,948237bf-657d-4b5f-aaa4-5023e93246c2
N7qRoYNX9tI,Here's That Rainy Day,Jimmy Van Heusen,"Paul Desmond, The Modern Jazz Quartet",Paul Desmond & The Modern Jazz Quartet,1981,quintet (alto sax with vibes quartet),https://www.youtube.com/watch?v=N7qRoYNX9tI,Here's That Rainy Day (Live),Paul Desmond - Topic,Elegant chamber-jazz collaboration,musicbrainz,686ad489-b84e-4fe6-83be-4683a1050d1b
VEVFaJlcr9E,Here's That Rainy Day,Jimmy Van Heusen,Joe Pass,Virtuoso,1974,solo guitar,https://www.youtube.com/watch?v=VEVFaJlcr9E,Joe Pass Here's That Rainy Day Transcription,jazz guitar style master,Solo guitar virtuoso showcase,musicbrainz,1c635c9b-a28b-45dc-932f-d879fb6547f4
5u5o7O2W5UA,Here's That Rainy Day,Jimmy Van Heusen,Irene Kral,Just for Now,2004,vocal with piano,https://www.youtube.com/watch?v=5u5o7O2W5UA,Here's That Rainy Day,Irene Kral - Topic,Intimate vocal-piano duo classic,musicbrainz,1a747f1d-819b-4440-9667-6c9a3dc9b740
1w-2-i-e3wI,Here's That Rainy Day,Jimmy Van Heusen,"Oscar Peterson Trio, The Singers Unlimited",In Tune,2005,vocal group with piano trio,https://www.youtube.com/watch?v=1w-2-i-e3wI,Oscar Peterson Trio & Singers Unlimited - In Tune - Here's That Rainy Day,MPS Records,Lush vocal-harmony arrangement,musicbrainz,a3f5f2a3-fd23-437b-87f0-4e7d325507cf
nfZ6fOBgAec,Honeysuckle Rose,Fats Waller,Fats Waller and His Rhythm,"If You Got to Ask, You Ain’t Got It!",1926,small group with vocal/piano,https://www.youtube.com/watch?v=nfZ6fOBgAec,"Fats Waller And His Rhythm- ""Honeysuckle Rose""",jawspinkid,"Composer's own definitive, exuberant rendition",musicbrainz,030e1c71-a7ef-4bad-9ed3-b293322322df
cpHhHS9o8_0,Honeysuckle Rose,Fats Waller,"Django Reinhardt, Stéphane Grappelli",Enregistrements Originaux,1986,string quintet (guitar/violin),https://www.youtube.com/watch?v=cpHhHS9o8_0,Stéphane Grappelli - Honeysuckle Rose - vers 1959,Ronan Pinc,Landmark Gypsy-jazz interpretation,musicbrainz,4075d949-bcf6-4b4c-828e-f15ce7d35ed6
GyBjDsgo2Y0,Honeysuckle Rose,Fats Waller,Count Basie & His Orchestra,Volume 3 - 1929-1937 - Complete Edition,1991,big band,https://www.youtube.com/watch?v=GyBjDsgo2Y0,Count Basie  - Honeysuckle Rose,Classic Mood Experience,Swinging Kansas City big band treatment,musicbrainz,3deeefce-3906-4c58-9cf8-ebbe40691eb3
GrkXKx8a3w0,Honeysuckle Rose,Fats Waller,"Coleman Hawkins & His All-Star ""Jam"" Band",Honeysuckle Rose / Crazy Rhythm,1937,tenor saxophone with combo,https://www.youtube.com/watch?v=GrkXKx8a3w0,Coleman Hawkins & His All Star Jam Band - Honeysuckle Rose,Heinz Becker,Celebrated European jam-session improvisation,musicbrainz,e0e885ac-80ea-4f44-8319-5cde6f184657
Nm_F-EbfnK4,Honeysuckle Rose,Fats Waller,Art Tatum,Tatum Art: Art Tatum Live Performances 1934-1956,2008,solo piano,https://www.youtube.com/watch?v=Nm_F-EbfnK4,"Art Tatum plays ""Honeysuckle Rose"" (1951) + my transcribed score",Albert de la Fuente,Virtuosic stride-influenced solo piano,musicbrainz,2ff10ca1-dcca-4e89-a0c8-4533a30d4f45
rmRqpsmRxK4,Honeysuckle Rose,Fats Waller,Benny Goodman Trio,The Chronological Classics: Benny Goodman and His Orchestra 1949-1951,2007,piano trio with clarinet,https://www.youtube.com/watch?v=rmRqpsmRxK4,Benny Goodman - Honeysuckle Rose Jam Session Full Version,Shhh Peaceful,Classic small-group swing chamber jazz,musicbrainz,23bc48a5-f92e-470d-bbcf-838f65eb9e30
uFUE4FpqLSU,Honeysuckle Rose,Fats Waller,"Django Reinhardt, Duke Ellington & His Orchestra",The Great Chicago Concerts,1994,guitar with big band,https://www.youtube.com/watch?v=uFUE4FpqLSU,"Django Reinhardt - Honeysuckle Rose - London, 31.01.1938",Heinz Becker,Notable Reinhardt-Ellington collaboration,musicbrainz,a3aecc49-e036-43be-9b55-5e42184590cf
vlj5qx0zvDU,Honeysuckle Rose,Fats Waller,Louis Armstrong & His All-Stars,Satchmo at Pasadena,1951,trumpet/vocal with combo,https://www.youtube.com/watch?v=vlj5qx0zvDU,Honeysuckle Rose (Album Version),Louis Armstrong,Armstrong's joyful All-Stars version,musicbrainz,7a61b8fd-0b07-4569-bc0f-30b6a27c5f16
7TUtN-YMC4A,Hot House,Tadd Dameron,Dizzy Gillespie & Charlie Parker,Salt Peanuts / Hot House,1945,quintet,https://www.youtube.com/watch?v=7TUtN-YMC4A,"SIDNEY CATLETT (great drum solo) with Charlie Parker & Dizzy Gillespie - 1945 - ""Hot House""",Billy Ponzio,"Definitive 1945 bebop recording with Gillespie, Parker, Al Haig, Curley Russell, Sid Catlett",musicbrainz,36098d99-6a64-437c-b2b9-73d5368dc5c2
UwB9sUvYnVk,Hot House,Tadd Dameron,"Charlie Parker, Dizzy Gillespie, Bud Powell, Charles Mingus, Max Roach",Jazz at Massey Hall,1956,quintet,https://www.youtube.com/watch?v=UwB9sUvYnVk,"Charlie Parker, Dizzy Gillespie, Bud Powell, Max Roach, Charles Mingus - Hot House",Classic Mood Experience,Legendary 1953 Massey Hall 'greatest concert ever' performance,musicbrainz,ace622f8-1d0f-4504-97f5-2efcf895bcc1
i06rjXGH_KI,Hot House,Tadd Dameron,The Quintet,Complete Jazz at Massey Hall,2003,quintet,https://www.youtube.com/watch?v=i06rjXGH_KI,The Quintet-Hot House,jaywilton,Massey Hall under the famous 'The Quintet' billing,musicbrainz,119e1f90-1d29-4ff9-84ee-72a08f7c62a6
6FmjLlBafK4,Hot House,Tadd Dameron,Bud Powell,Bud Powell,1993,piano trio,https://www.youtube.com/watch?v=6FmjLlBafK4,"Bud Powell ""Hot House"" Piano Transcription",AT Jazz Piano Transcription,Bebop piano master's trio reading,musicbrainz,f583b40c-eaf8-406b-818d-96f3780cf677
ayapUmcDnHM,Hot House,Tadd Dameron,Clifford Brown & Max Roach,Live at The Bee Hive,1979,quintet,https://www.youtube.com/watch?v=ayapUmcDnHM,Hot House,Clifford Brown - Topic,Hard bop interpretation with Brownie's brilliant trumpet,musicbrainz,9f132f21-aa36-49e8-b1e7-8c858e463087
15IHNYq6stw,Hot House,Tadd Dameron,Chick Corea & Gary Burton,Hot House,2012,piano and vibraphone duo,https://www.youtube.com/watch?v=15IHNYq6stw,Chick Corea & Gary Burton: Tiny Desk Concert,NPR Music,Acclaimed modern piano-vibes duo interpretation,musicbrainz,7b229fd6-3d4f-4abd-a20a-c457b57532cd
rXYzNK2Hsoc,Hot House,Tadd Dameron,Steve Lacy & Mal Waldron,Hot House,1991,soprano sax and piano duo,https://www.youtube.com/watch?v=rXYzNK2Hsoc,Hot House,Charlie Parker,"Spare, modern duo exploration of the tune",musicbrainz,e73836c6-a126-4a32-a4f3-9914247456ca
bhf7pYWLfJk,Hot House,Tadd Dameron,Emily Remler,East to Wes,1988,guitar quartet,https://www.youtube.com/watch?v=bhf7pYWLfJk,Hot House,Emily Remler - Topic,Notable guitar-led version showcasing different instrumentation,musicbrainz,82c608a9-2c70-4b7c-9ee1-5fb7ece847b0
G6byjloC6-A,How Deep Is The Ocean,Irving Berlin,Bing Crosby,Temptation,1994,vocal with orchestra,https://www.youtube.com/watch?v=G6byjloC6-A,How Deep Is the Ocean (Remastered),Bing Crosby,Early hit recording the year the song was published,musicbrainz,e061094a-0daf-4516-add9-68e0b163e26b
a4TzyrCiWWM,How Deep Is The Ocean,Irving Berlin,Coleman Hawkins,The Chronological Classics: Coleman Hawkins 1943-1944,1995,tenor saxophone with orchestra,https://www.youtube.com/watch?v=a4TzyrCiWWM,Coleman Hawkins And His Orchestra - How Deep Is The Ocean,Heinz Becker,Landmark swing-era tenor ballad reading,musicbrainz,12033d39-2ece-4151-a641-25e0c5ac99f9
gJbSXFylm98,How Deep Is The Ocean,Irving Berlin,Charlie Parker,"Bird's Eyes: Last Unissued, Vol. 17",1947,alto saxophone quintet,https://www.youtube.com/watch?v=gJbSXFylm98,Charlie Parker- How Deep is the Ocean?.m4v,Zack Sierzega,Definitive bebop interpretation by Bird,musicbrainz,f3535edf-8530-41a7-98f6-5173edfc3d53
q5SK1zD09Lc,How Deep Is The Ocean,Irving Berlin,The Nat King Cole Trio,The Complete Capitol Recordings of the Nat King Cole Trio,1991,piano trio with vocal,https://www.youtube.com/watch?v=q5SK1zD09Lc,Nat King Cole Trio. How Deep Is The Ocean?,Miles Dewey,Elegant Cole trio rendition,musicbrainz,5e3f77d7-b26a-43b9-9157-fe2f528c890b
0vEum7syn00,How Deep Is The Ocean,Irving Berlin,Billie Holiday,The Complete Verve Studio Master Takes,2005,vocal with band,https://www.youtube.com/watch?v=0vEum7syn00,Billie Holiday - How Deep Is The Ocean? (How High Is The Sky) Clef Records 1954,RoundMidnightTV,Emotive Lady Day vocal version,musicbrainz,a0ea347b-015d-40db-9f10-3bbb7547aab0
54_rzAdy57A,How Deep Is The Ocean,Irving Berlin,Bill Evans Trio,Explorations,1961,piano trio,https://www.youtube.com/watch?v=54_rzAdy57A,How Deep Is The Ocean by the Bill Evans Trio from Explorations,Bill Evans,Lyrical modern piano trio treatment,musicbrainz,6008401d-8273-4d30-9520-9936a20059ea
3BE-wUPEO6A,How Deep Is The Ocean,Irving Berlin,Frank Sinatra,Young Frank Sinatra: In The Blue Of Evening,1992,vocal with orchestra,https://www.youtube.com/watch?v=3BE-wUPEO6A,How Deep Is The Ocean? (2020 Mix),Frank Sinatra,Classic Sinatra ballad phrasing,musicbrainz,2455764a-7b1e-4418-b02c-9751bfa35da0
acuR014vnwg,How Deep Is The Ocean,Irving Berlin,"Ben Webster, Oscar Peterson",Ben Webster Meets Oscar Peterson,1959,tenor saxophone with piano trio,https://www.youtube.com/watch?v=acuR014vnwg,Ben Webster and Oscar Peterson - How deep is the ocean,ana jankovic,Sumptuous Webster-Peterson ballad collaboration,musicbrainz,9daa7fb6-e9fd-4676-9319-d31cfb6890f3
1GUmxnYheK0,How High The Moon,Morgan Lewis,Ella Fitzgerald,The Chronological Classics: Ella Fitzgerald 1947–1948,1999,vocal with big band,https://www.youtube.com/watch?v=1GUmxnYheK0,"Ella Fitzgerald- ""How High The Moon/Epic scat"" LIVE 1966 [RITY Archives]",ReelinInTheYears66,"Iconic live scat performance, definitive vocal version",musicbrainz,1773cd2e-4a3c-42a2-8d52-22fd211d1555
vXHg_u0iFTc,How High The Moon,Morgan Lewis,Charlie Parker & Dizzy Gillespie,"The Legendary Town Hall Concert: New York City, 1945",2006,bebop quintet,https://www.youtube.com/watch?v=vXHg_u0iFTc,"""How High the Moon?"" - Charlie Parker 1949 Jazz at the Philharmonic",Phawin Phanudom,"Landmark bebop reading, basis for 'Ornithology'",musicbrainz,a5c20819-9857-46e9-afc6-8b1556191d9c
NkGf1GHAxhE,How High The Moon,Morgan Lewis,Les Paul & Mary Ford,How High the Moon,1951,vocal with multitrack guitar,https://www.youtube.com/watch?v=NkGf1GHAxhE,HOW HIGH THE MOON   LES PAUL   MARY FORD   1951,Sunday Funnies,Massive #1 hit; pioneering multitrack recording,claude,
eMM908tw9uU,How High The Moon,Morgan Lewis,Quintette du Hot Club de France,How High the Moon / Lover Man,1947,string quintet (gypsy jazz),https://www.youtube.com/watch?v=eMM908tw9uU,"Django Reinhardt - How High The Moon - Paris, 28 November 1947",Heinz Becker,Django and Grappelli's classic gypsy-swing version,musicbrainz,5baa07a4-1b7c-47b9-b9f8-8d2dfcae299a
J20UzQrI4h4,How High The Moon,Morgan Lewis,Art Tatum,Tatum Art: Art Tatum Live Performances 1934-1956,2008,solo piano,https://www.youtube.com/watch?v=J20UzQrI4h4,How High The Moon (Digitally Remastered 97),Art Tatum - Topic,Virtuosic solo piano interpretation,musicbrainz,46eb2a94-927e-4b6b-9d55-92f0120e8709
azk8gPlWCj8,How High The Moon,Morgan Lewis,Bud Powell,Birdland 1953,2004,piano trio,https://www.youtube.com/watch?v=azk8gPlWCj8,How High the Moon,Bud Powell Trio - Topic,Bebop piano benchmark paired with Ornithology,musicbrainz,a6a516ff-9a7c-4f7a-a02f-8cd3f5737761
_PMPM0oTAsc,How High The Moon,Morgan Lewis,Stan Getz & Chet Baker,L.A. Get-Together!,1992,quintet (tenor sax & trumpet),https://www.youtube.com/watch?v=_PMPM0oTAsc,How High the Moon,Stan Getz,Cool-school cross-coast pairing,musicbrainz,6db1bc30-2d00-4735-af09-41190269bb6b
lpI_YwhYcL4,How High The Moon,Morgan Lewis,Wes Montgomery,In the Beginning,2015,guitar combo,https://www.youtube.com/watch?v=lpI_YwhYcL4,Wes Montgomery on How High the Moon - Solo Transcription,sylv_,Octave-driven modern guitar approach,musicbrainz,4bd11cd3-9d38-4305-8b95-df45e23fe5ff
UFGA1f8dnA4,How Insensitive,Antonio Carlos Jobim,Frank Sinatra & Antônio Carlos Jobim,Sinatra/Jobim: The Complete Reprise Recordings,1967,vocal with orchestra,https://www.youtube.com/watch?v=UFGA1f8dnA4,How Insensitive (Insensatez),Tom Jobim Oficial,"Landmark Sinatra-Jobim collaboration, definitive vocal reading",musicbrainz,b675de69-d459-45cd-87e4-454e22cfaa30
XxVWqOdn150,How Insensitive,Antonio Carlos Jobim,Astrud Gilberto,The Astrud Gilberto Album,1965,vocal with orchestra,https://www.youtube.com/watch?v=XxVWqOdn150,Astrud Gilberto - How Insensitive,Smile892011,"Iconic bossa nova vocalist, authentic Brazilian phrasing",musicbrainz,c822b309-4600-4f54-8e6a-da5ff033e627
GAoXA4IoSyE,How Insensitive,Antonio Carlos Jobim,Wes Montgomery,The Girl From Ipanema: The Antonio Carlos Jobim Songbook,1995,guitar with orchestra,https://www.youtube.com/watch?v=GAoXA4IoSyE,How Insensitive,Wes Montgomery,"Lush guitar interpretation, classic jazz-bossa crossover",musicbrainz,a6f37cc1-1060-4469-bbff-09ec969e7a95
DFKbhIkbpno,How Insensitive,Antonio Carlos Jobim,Oscar Peterson,Soul Español,1966,piano trio,https://www.youtube.com/watch?v=DFKbhIkbpno,Oscar Peterson - How Insensitive (Jazz 1966),Rebel B,Elegant trio rendition by a jazz piano master,musicbrainz,b1601583-8560-4143-a863-b67beb72ffd9
JcEUMiIDMAQ,How Insensitive,Antonio Carlos Jobim,Shirley Horn Trio,All Night Long,1981,vocal with piano trio,https://www.youtube.com/watch?v=JcEUMiIDMAQ,Shirley Horn & Trio - How insensitive - Heineken Concerts 99,chicooceano,"Intimate, slow-burning vocal-piano treatment",musicbrainz,571ca71d-ccc6-4335-bb3d-1f15c4a225f7
Yx2s5INMOnQ,How Insensitive,Antonio Carlos Jobim,Ella Fitzgerald,The Pablo Years,1990,vocal with ensemble,https://www.youtube.com/watch?v=Yx2s5INMOnQ,Ella Fitzgerald - How Insensitive,Öykü Demirkır,From Ella's celebrated all-Jobim songbook album,musicbrainz,df4eb9a0-924a-4bcc-9289-8a32771ebcc0
XLYJR4TSCGo,How Insensitive,Antonio Carlos Jobim,Grant Green,Slick! - Live at Oil Can Harry’s,2018,guitar quartet,https://www.youtube.com/watch?v=XLYJR4TSCGo,How Insensitive (Insensatez),Grant Green,Soulful guitar take on the bossa standard,musicbrainz,6ca0a3ca-861a-4fde-9421-1bd9ced5d780
RKgJHSSRcn4,How Insensitive,Antonio Carlos Jobim,Eliane Elias,Eliane Elias Sings Jobim,1998,piano trio,https://www.youtube.com/watch?v=RKgJHSSRcn4,How Insensitive,Eliane Elias Official,Brazilian pianist's authoritative Jobim interpretation,musicbrainz,d98ddc0d-7140-4e55-bf7c-e978f0c36082
yxeqyhpjLjM,I Can't Get Started,Vernon Duke,Bunny Berigan and His Orchestra,Swing That Music!,1994,big band with trumpet/vocal,https://www.youtube.com/watch?v=yxeqyhpjLjM,"1938 HITS ARCHIVE: I Can’t Get Started - Bunny Berigan (Bunny Berigan, vocal) (Victor version)",The78Prof,The definitive recording; Berigan's signature trumpet feature and vocal,musicbrainz,199786e4-a552-4fc4-a19b-1e715e49ac39
BA7z-4hZJuQ,I Can't Get Started,Vernon Duke,"Lester Young, Nat King Cole Trio",Volume 2 - 1939-1942 - The Complementary Works,1993,tenor saxophone with piano trio,https://www.youtube.com/watch?v=BA7z-4hZJuQ,"I Can't Get Started (feat. Nat ""King"" Cole) (Bonus Track)",Lester Young - Topic,Sublime small-group ballad reading by Young and Cole,musicbrainz,536e8257-9315-4414-bd99-e3a47f74ad98
nwP8C2xhKBs,I Can't Get Started,Vernon Duke,Charlie Parker,Verve Jazz Masters 15,1994,alto saxophone with combo,https://www.youtube.com/watch?v=nwP8C2xhKBs,Charlie Parker – Jazz At The Philharmonic - I Can't Get Started,All That Jazz Don Kaart,Bebop master's lyrical ballad interpretation,musicbrainz,6060d537-80bc-4c86-ad40-2204cff5ab99
W3cKifJYLi8,I Can't Get Started,Vernon Duke,"Billie Holiday, Lester Young",Complete Recordings,2001,vocal with orchestra,https://www.youtube.com/watch?v=W3cKifJYLi8,Billie Holiday - I Can't Get Started With You (Vocalion Records 1938),RoundMidnightTV,Holiday vocal classic paired with Young's tenor,musicbrainz,f49eaa69-6e50-41d9-9934-37954bacbfd4
ZBCEnEk4WDI,I Can't Get Started,Vernon Duke,"Sarah Vaughan, Ted Dale and His Orchestra",The Chronological Classics: Sarah Vaughan 1946-1947,1998,vocal with orchestra,https://www.youtube.com/watch?v=ZBCEnEk4WDI,I Can't Get Started,Sarah Vaughan - Topic,"Lush, virtuosic vocal treatment",musicbrainz,8da7f2ac-a745-46a7-95bf-8752b27ca371
dnTzxG5lT4E,I Can't Get Started,Vernon Duke,The Clifford Brown–Max Roach Quintet,"The Encyclopedia of Jazz, Part 5/5: Modern Jazz - Cool Jazz",2008,hard bop quintet,https://www.youtube.com/watch?v=dnTzxG5lT4E,I Can't Get Started,Clifford Brown - Topic,Brilliant trumpet ballad feature from a landmark quintet,musicbrainz,289e53d2-aafc-49e3-a785-222d3ede6d6f
HbJHzPTW5Wk,I Can't Get Started,Vernon Duke,Bill Evans,Kind of Evans,2011,solo piano,https://www.youtube.com/watch?v=HbJHzPTW5Wk,I Can't Get Started,Bill Evans,"Evans's introspective, harmonically rich solo reading",musicbrainz,7d010289-9b28-4e5b-98a4-2880053a7f3f
bic58iEVPEk,I Can't Get Started,Vernon Duke,The Modern Jazz Quartet,"The Modern Jazz Quartet at Music Inn, Volume 2",1959,vibraphone quartet,https://www.youtube.com/watch?v=bic58iEVPEk,I Can't Get Started,The Modern Jazz Quartet - Topic,Elegant chamber-jazz interpretation within ballad medley,musicbrainz,fd1b188e-9ee5-45ab-9bf1-e96cf60e761d
M-cej-5dkc0,I Got Rhythm,George Gershwin,Louis Armstrong,V.S.O.P. Vol. 7/8,1974,vocal with big band,https://www.youtube.com/watch?v=M-cej-5dkc0,LOUIS ARMSTRONG - I Got Rhythm (1938),Giorgio Cùscito,Early landmark vocal/trumpet reading by a jazz giant,musicbrainz,94c10302-3a04-44a1-8fbd-73e8a9884828
oLNwQ1GFz44,I Got Rhythm,George Gershwin,"Django Reinhardt, Stéphane Grappelli",Swing From Paris,1990,string quintet (guitars and violin),https://www.youtube.com/watch?v=oLNwQ1GFz44,"Stéphane Grappelli plays ""I Got Rhythm"" (1984)",musicanth,Definitive gypsy-jazz swing version,musicbrainz,6289717f-d861-4d38-9346-d3a62634e7bf
n50DVFOlDFc,I Got Rhythm,George Gershwin,Art Tatum,California Melodies,1994,solo piano,https://www.youtube.com/watch?v=n50DVFOlDFc,I got rhythm - Art Tatum the Genius of Jazz,RUSH E - NO COPYRIGHT MUSIC,Dazzling virtuoso solo piano interpretation,musicbrainz,6f2baf83-2ccf-4c04-9bbb-60f7878a58d9
